index,X,Y,cell_type
1092,2391,554,2
1093,2434,506,2
1094,2461,477,2
1095,2342,555,2
1097,2387,608,2
1098,2326,591,2
1099,2311,499,2
1100,2302,525,2
1101,2265,529,2
1102,2225,516,2
1103,2189,506,2
1104,2164,534,2
1105,2166,472,2
1106,2145,470,2
1107,2200,451,2
1108,2222,456,2
1109,1991,519,2
1110,2029,569,2
1111,2037,607,2
1112,2438,139,2
1113,2483,71,2
1114,2520,637,2
1115,2447,632,2
1116,2412,645,2
1117,2328,633,2
1118,2313,672,2
1119,2163,702,2
1120,2182,746,2
1121,2159,785,2
1122,2020,651,2
1123,2193,828,2
1124,2317,816,2
1125,2375,816,2
1126,2412,754,2
1127,2430,679,2
1128,2484,673,2
1129,2546,666,2
1130,2511,736,2
1131,2556,725,2
1132,2553,784,2
1133,2498,777,2
1134,2451,743,2
1135,2446,772,2
1136,2419,842,2
1137,2454,823,2
1138,2457,843,2
1139,2500,833,2
1140,2537,858,2
1141,2525,888,2
1142,2546,940,2
1143,2554,970,2
1144,2534,989,2
1145,2424,996,2
1146,2459,1049,2
1147,2540,1063,2
1148,2319,1034,2
1149,2121,1046,2
1150,2080,1054,2
1151,2040,1066,2
1152,2050,1082,2
1153,2228,1083,2
1154,2279,1073,2
1155,2315,1078,2
1156,2212,1139,2
1157,2249,1112,2
1158,2255,1150,2
1159,2282,1125,2
1160,2352,1187,2
1161,2352,1231,2
1162,2349,1275,2
1163,2417,1203,2
1164,2507,1230,2
1165,2539,1280,2
1166,2531,1320,2
1167,2551,1443,2
1168,2528,1497,2
1169,2499,1532,2
1170,2462,1544,2
1171,2459,1506,2
1172,2461,1481,2
1173,2425,1593,2
1174,2451,1624,2
1175,2470,1620,2
1176,2039,1355,2
1177,2083,1350,2
1178,2114,1345,2
1179,2152,1352,2
1180,2180,1392,2
1181,2127,1422,2
1182,2098,1459,2
1183,2073,1481,2
1184,2153,1459,2
1185,2145,1505,2
1186,2143,1548,2
1187,2032,1663,2
1188,2183,1547,2
1189,2205,1541,2
1190,2208,1591,2
1191,2241,2018,2
1192,2236,2072,2
1193,2040,2168,2
1194,2050,2231,2
1195,2074,2279,2
1196,2017,2302,2
1197,2242,2434,2
1198,2242,2123,2
1199,2272,2109,2
1200,2282,2092,2
