ObjectNumber,Area,Compactness,Eccentricity,EulerNumber,Intensity_MEAN,Intensity_MEDIAN,Location_X,Location_Y,FirstClosestDistance,NumberOfNeighbors,PercentTouching,SecondClosestDistance,C19H24N2O2,C45H86O13P,C48H81NO10P,C10H14N5O7P
2089,1864,1.3348917043136308,0.8202040040194206,1.0,0.010545187608274937,0.010116731747984886,984.6394849785411,1490.6158798283263,119.76254380256451,0.0,0.0,124.09447033336286,6834.4031718749975,917.4093925781247,3534.4423115234367,308.9225743408203
2098,2512,2.290669850164228,0.9587748659222752,1.0,0.016344222743627703,0.015289540402591228,9.590366242038499,1516.4124203821657,30.780096164263238,3.0,45.55873925501432,47.29094873531906,2550.9091796875,3179.67578125,7718.2841796875,108.56453704833984
2101,4180,3.2262027716558257,0.9740571163229764,1.0,0.012964652841977559,0.011642633937299252,1685.6877990430621,1511.0315789473689,45.777454307797505,2.0,27.667269439421336,62.57111151241722,2233.316650390625,2575.997314453125,7101.583496093751,401.18353271484375
2103,2125,2.8991648750091965,0.9772144714388166,1.0,0.01339172702655196,0.012512397952377796,73.41741176470578,1478.6687058823527,48.19916495886136,3.0,40.06410256410256,52.688277879388465,2652.688385066567,2965.144422964155,8453.595987656687,331.91255131275466
2108,3226,2.957455232397663,0.9552781924467744,1.0,0.015598911275135631,0.01466391980648041,1797.7898326100435,1481.9597024178552,41.45684771291501,3.0,35.129740518962066,94.39491035437972,5547.098255736151,3546.795022294204,10347.913447537385,885.8505526330545
2109,1563,1.547824950975148,0.9124043875682388,1.0,0.014309184516107356,0.013740749098360537,40.245041586692196,1513.6365962891882,30.780096164263238,4.0,75.10917030567684,46.995769860564366,2753.738495291096,3194.444269049657,9535.59286708048,314.23542116766106
2112,1582,1.2757945968059516,0.8239366417700902,1.0,0.02147846235381498,0.018646525219082832,1581.5018963337548,1526.6314791403288,35.10138585163827,3.0,60.66350710900475,72.16002520830034,3664.236496740108,4218.134770894222,12288.083991400628,225.23988660633992
2124,4139,3.2866013998243524,0.9468437763224994,1.0,0.013899675054252004,0.012436103075742722,237.28001932834013,1522.913988886205,97.19104348145108,0.0,0.0,144.9786543509581,7113.097466571514,1955.9142019418566,6369.234406926082,158.53335612370418
2128,6085,4.020058421214913,0.9887486196605606,1.0,0.01328257117910202,0.012497139163315296,1913.5224322103527,1511.0529170090385,48.48527976033464,3.0,57.733537519142416,53.619721626523294,2465.1845048618884,1407.7852255650766,4657.276045376641,305.6595375284333
2133,3275,1.9441653504118368,0.9289527126810316,1.0,0.012122041996824377,0.0117494473233819,1287.9413740458008,1540.428396946565,58.37847191429478,1.0,6.876790830945557,93.53121225741577,2800.4683802185364,294.03329704969815,1177.8693979488705,222.42739255665927
